Date,Location,Revenue,Average Paying Memberships,Memberships at end of Period,Average Revenue Per Membership
2022-03-31,UCAN,3350424,74897,74579,14.91
2022-06-30,UCAN,3537863,73931,73283,15.95
2022-09-30,UCAN,3601565,73335,73387,16.37
2022-12-31,UCAN,3594791,73842,74296,16.23
2023-03-31,UCAN,3608645,74347,74398,16.18
2023-06-30,UCAN,3599448,74985,75571,16.00
2023-09-30,UCAN,3735133,76446,77321,16.29
2023-12-31,UCAN,3930557,78725,80128,16.64
2024-03-31,UCAN,4224315,81393,82658,17.30
2024-06-30,UCAN,4295560,83384,84109,17.17
2024-09-30,UCAN,4322476,84456,84803,17.06
2024-12-31,UCAN,4517018,87214,89625,17.26
2022-03-31,EMEA,2561831,73885,73733,11.56
2022-06-30,EMEA,2457235,73350,72966,11.17
2022-09-30,EMEA,2375814,73250,73534,10.81
2022-12-31,EMEA,2350135,75132,76729,10.43
2023-03-31,EMEA,2517641,77051,77373,10.89
2023-06-30,EMEA,2562170,78590,79807,10.87
2023-09-30,EMEA,2693146,81784,83760,10.98
2023-12-31,EMEA,2783530,86287,88813,10.75
2024-03-31,EMEA,2958193,90271,91729,10.92
2024-06-30,EMEA,3007772,92847,93964,10.80
2024-09-30,EMEA,3133466,95048,96131,10.99
2024-12-31,EMEA,3287604,98632,101133,11.11
2022-03-31,LATAM,998948,39786,39610,8.37
2022-06-30,LATAM,1030234,39617,39624,8.67
2022-09-30,LATAM,1023945,39780,39936,8.58
2022-12-31,LATAM,1016846,40818,41699,8.30
2023-03-31,LATAM,1070192,41474,41249,8.60
2023-06-30,LATAM,1077435,41858,42466,8.58
2023-09-30,LATAM,1142811,43056,43645,8.85
2023-12-31,LATAM,1156023,44821,45997,8.60
2024-03-31,LATAM,1165008,46859,47720,8.29
2024-06-30,LATAM,1204145,48485,49250,8.28
2024-09-30,LATAM,1240892,49216,49182,8.40
2024-12-31,LATAM,1229771,51255,53327,8.00
2022-03-31,APAC,916754,33176,33719,9.21
2022-06-30,APAC,907719,34259,34799,8.83
2022-09-30,APAC,889037,35514,36228,8.34
2022-12-31,APAC,856711,37126,38023,7.69
2023-03-31,APAC,933523,38751,39478,8.03
2023-06-30,APAC,919273,40012,40546,7.66
2023-09-30,APAC,948216,41487,42427,7.62
2023-12-31,APAC,962715,43883,45338,7.31
2024-03-31,APAC,1022924,46417,47495,7.35
2024-06-30,APAC,1051833,48910,50324,7.17
2024-09-30,APAC,1127869,51464,52604,7.31
2024-12-31,APAC,1212120,55073,57541,7.34
